Country,WHO Region,Population,Geographical Region,WHO Group,DALY,Adult DALYs,Children DALYs,Retention Rate,Retention Rate (ADULT),Retention Rate (CHILD),# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,# Receiving Treatment,# Needing Treatment,% Treatment Coverage,Estimated adults (15+) living with HIV,Estimated children (0-14) living with HIV,# Adult Prevalent Cases Receiving Treatment,# Children Prevalent Cases Receiving Treatment,3TC,ABC,AZT,ddl,d4T,EFV,FTC,LPV/r,NVP,TDF,ATV/r,Overall Treatment Impact,,,,,,average of 2013 antiretroviral treatment. ,,,Treatment Regimen Proportion and Efficacy Section,,,,,impact =daly*treatment cover*x/(1-treatment cover*x)/number of drugs,,,,,,Originator Company,Drug(s),Final Impact,,,,,Afghanistan,9224.366,Afghanistan,1528.182,,Afghanistan,500,26,0.11,,,Country,All ages,Children (0-14),Adults (15+),Year,,http://apps.who.int/gho/data/node.main.626?lang=en,Estimated antiretroviral therapy coverage among people living with HIV (%),Reported number of people receiving antiretroviral therapy,Cleaned coverage,Cleaned number of people receiving antiretroviral therapy,Computed Impact Score (3TC),Computed Impact Score (ABC),Computed Impact Score (AZT),Computed Impact Score (ddl),Computed Impact Score (d4T),Computed Impact Score (EFV),Computed Impact Score (FTC),Computed Impact Score (LPV/r),Computed Impact Score (NVP),Computed Impact Score (TDF),Computed Impact Score (ATV/r),Computed Overall Treatment Impact
Afghanistan,EMR,33736494,"East, South and South-East Asia",A,10752.548,9224.366,1528.182,72,73,60,364,7280,0.05,338,6780,0.04985250737,26,500,0.11,3500,2670.23441727685,174.4837758,293.7257859,35.66780209,3.483114137,15.83156254,0.1026422272,0.5238357521,21.36337968,7.057697955,4.612259383,16.42590132,23.74915871,0.4126282835,129.2299821,,Afghanistan,Belize,,First-Line Regimens,0.90835,,,TDF + 3TC + EFV,0.324,0.78,0,0.7883333333,3,0.229558212,0,,,,Shire Pharmaceuticals,3TC,726553.5729,,,,,Algeria,11055.12,Algeria,530.9247,,Algeria,500,582,0.95,,,Albania,92,100,92,2015,,Afghanistan,5 [3-12],364,0.05,364,29.426590118287976,3.48311413740718,3.7038171185058246,0.1026422271952834,0.5238357521197288,4.6066804678895705,0.26771029185153256,19.92106747764433,4.8425927978238175,22.376962107131178,0.4126282834155209,89.66764077927193
Albania,EUR,2880703,Europe and Central Asia,A,98.495261,96.59686,1.898401,92,92,97.14,423,,0,407,,0,16,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Albania,Bolivia,,Second-Line Regimens,0.09165,,,TDF + FTC + EFV,0.22399999999999998,0.7714285714,0,0.7989473684,3,0.15696288,0,,,,Boehringer Ingelheim,NVP,336061.6719,,,,,American Samoa,25.84525,American Samoa,2.673419,,Andorra,,,,,,Algeria,92,77,92,2015,,Albania,No data,423,,423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,AFR,39871528,Middle East and North Africa,A,11586.0447,11055.12,530.9247,92,92,77,7915,8794.444444,0.9,7333,8294.444444,0.8840857334,582,500,0.95,37588.90463,2035.833685,33231.81432,1934.042001,186.1668323,3.71423875,70.80180194,0.08826703707,0.4559254035,140.0148999,49.1322222,15.75486505,77.09206589,164.9928191,2.513475486,710.7274131,,Algeria,Brazil,,,,,,AZT + 3TC + NVP,0.201,0.8193333333,0.43,0.8193333333,3,0.1495925281,0.314703885,,,,Bristol-Myers Squibb,"ddl, d4T, ATV/r",18943.94885,,,,,Andean Latin America,83368.23,Andean Latin America,886.8177,,Angola,25000,6032,0.24,,,Antigua and Barbuda,100,,,2015,,Algeria,90 [70->95],7 915,0.9,7915,177.2930165401084,3.714238749691114,17.294536929542275,0.08826703707307837,0.4559254035217979,17.449507367281207,1.6311185244080681,132.91399244466064,26.123411605034345,159.26570869003962,2.513475485728401,538.7431987770888
American Samoa,WPR,55537,,A,28.518669,25.84525,2.673419,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,, ,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,American Samoa,Colombia,,,,,,TDF + 3TC + NVP,0.131,0.75,0,0.655,3,0.0892453875,0,,,,Merck,EFV,444912.2859,,,,,Andorra,83.20017,Andorra,0.16957,,Antigua and Barbuda,,,,,,Argentina,66,,,2015,,Andorra,High-income country,No data,,,0.04909033107807208,0.0002192879375863268,0.0054394123627704806,0.0,0.0,0.005156784371042483,0.0005596796009222565,0.03536447104671614,0.008266186061794425,0.04457747610008046,0.0008625691994412898,0.14953619775842591
Andorra,EUR,78014,,A,83.36974,83.20017,0.16957,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.1769268888,0.000705924442,0.06580248435,0.0,0.0,0.1368831362,0.04982572069,0.01484323918,0.07224947995,0.1652872655,0.002776754105,0.6853008932,,Angola,Costa Rica,,CHILDREN,0.0535,,,AZT + 3TC + EFV,0.085,0.73,0.08,0.7066666667,3,0.0563631175,0.0504984,,,,"Gilead Sciences, Inc","FTC, TDF",642317.0153,,,,,Angola,485015.9,Angola,163935.5,,Argentina,1000,1597,0.95,,,Armenia,85,100,85,2015,,Angola,29 [20-40],90 204,0.29,90204,0.15802996260635435,0.0007059244420592481,0.017510375534483345,0.0,0.0,0.016600548894828943,0.0018017019739512636,0.11384413008374307,0.026610231496809918,0.14350232981679928,0.002776754104923698,0.4813819589539531
Angola,AFR,27859305,Sub-Saharan Africa,A,648951.4,485015.9,163935.5,97.14,97.14,97.14,90204,311048.2759,0.29,84172,286048.2759,0.2942580225,6032,25000,0.24,190000,28000,55909.02428,6720,1085.331064,84.82324472,466.4270296,2.455044855,12.55246681,689.470875,232.3995389,128.1310753,489.156981,780.4091668,13.0924953,3984.248983,,Armenia,Cuba,,First-Line Regimens,0.89325,,,Others TDF based,0.008,0.7512465753,0,0.5,1,0.005459158614,0,,,,Abbot Laboratories,LPV/r,85896.65593,,,,,Antigua and Barbuda,388.6716,Antigua and Barbuda,25.17938,,Armenia,,24,,,,Azerbaijan,91,90,91,2015,,Antigua and Barbuda,High-income country,No data,,,921.1160664855555,84.82324471827069,109.72026538299932,2.455044855470437,12.552466809595437,130.60386855469795,8.494918753492703,639.4696965851954,148.56574821922382,734.1169963576108,13.092495294686163,2805.010812016798
Anguilla,AMR,14723,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Azerbaijan,Dominica,,Second-Line Regimens,0.10675,,,Others,0.027000000000000003,0.7512465753,0.02,0.5,,0.01842466032,0.0089325,,,,GlaxoSmithKline,"ABC, AZT",385051.5629,,,,,Argentina,73886.85,Argentina,4439.625,,Australia,100,19,0.9,,,Bahamas,91,100,91,2015,,Argentina,64 [58-70],70 530,0.64,70530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,AMR,99923,,B,413.85098,388.6716,25.17938,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.8265182264,0.00329774305,0.307397892,0.0,0.0,0.639452871,0.2327620555,0.06934054969,0.3375151874,0.7721434454,0.01297167374,3.201399644,,Bangladesh,Dominican Republic,,,,,,ABC + 3TC + LPV/r,0,0.63,0.14,0.63,3,0,0.07878465,,,,,,,,,,,Armenia,773.9614,Armenia,2.984153,,Austria,,,,,,Bahrain,48,,48,2015,,Armenia,26 [21-35],941,0.26,941,0.7382407802069627,0.003297743049975442,0.08180014146111114,0.0,0.0,0.07754986437926023,0.008416694207942074,0.531825598316164,0.12431033797449581,0.6703745933887285,0.012971673744984676,2.2487874267296246
Argentina,AMR,43417765,Latin America and the Caribbean,B,78326.475,73886.85,4439.625,66,97.14,97.14,70530,110203.125,0.64,68933,109203.125,0.6312365145,1597,1000,0.95,93000,3318.27556,58704.99585,3152.361782,3783.17524,122.2568016,1502.665107,3.136901173,16.20302415,2719.586642,953.9801015,350.7388265,1618.611918,3192.017671,50.92785033,14313.30008,,Belarus,Ecuador,,,,,,ABC + 3TC + EFV,0,0.69475,0.13,0.7298,3,0,0.0847462005,,,,Overall Impact for HIV drugs,,2639736.714,,,,,Australasia,5286.512,Australasia,185.2713,,Azerbaijan,100,73,0.83,,,Bangladesh,80,90,79,2015,,Australia,90 [82->95],24 169,0.9,24169,3412.105196429844,122.25680156146845,361.54160733775757,3.136901172574291,16.20302414512729,379.610383347879,33.0471854936438,2486.4739944342296,530.8500496945596,2983.2257779887827,50.92785033270145,10379.37877193857
Armenia,EUR,2916950,Europe and Central Asia,A,776.945553,773.9614,2.984153,85,85,97.14,941,3619.230769,0.26,917,3619.230769,0.2533687566,24,,,3200,196.5832659,810.7800213,0,5.906417992,0.02398832805,2.206146201,0.0,0.0,4.553170884,1.663949792,0.5030584231,2.419804171,5.511532289,0.09433430596,22.88240239,,Benin,El Salvador,,,,,,ABC + 3TC + NVP,0,0.7512465753,0.07,0.5,3,0,0.03126375,,,,,,,,,,,Australia,4679.178,Australia,164.2034,,Bahamas,100,49,0.89,,,Barbados,82,,82,2015,,Austria,High-income country,No data,,,5.2027960314481305,0.023988328044019132,0.5915557846931981,0.0,0.0,0.5606400149142896,0.061207032234339986,3.7137440899887624,0.8952846528385554,4.712556895876804,0.0943343059408635,15.856107135978961
Aruba,AMR,104341,,B,0,0,0,97.14,97.14,97.14,,,0.3637163359,,,0.3637163359,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Bhutan,Grenada,,,,,,d4T + 3TC + NVP,0,0.843,0.03,0.843,3,0,0.0225902925,,,,,,,,,,,Austria,2459.371,Azerbaijan,54.72095,,Bahrain,,,,,,Belarus,87,,,2015,,Azerbaijan,28 [20-39],3 033,0.28,3033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,WPR,23789338,,A,4843.3814,4679.178,164.2034,97.14,97.14,97.14,24169,26854.44444,0.9,24150,26754.44444,0.9026537647,19,100,0.9,2260.800215,,2040.719825,,28.29496571,0.4196127554,10.59212153,0.009244046329,0.04771365792,21.62148955,7.61552487,2.326812355,11.58183295,25.56709452,0.3883414316,108.4647534,,Bosnia and Herzegovina,Guatemala,,,,,,d4T + 3TC + LPV/r,0,0.7512465753,0.02,0.5,3,0,0.0089325,,,,"Treatment Coverage By Region, Age Group & Sex (2010 data)",,,,"% Necessary for missing data (Columns K, N, Q)",,,Azerbaijan,4968.917,Bahrain,26.57196,,Bangladesh,500,90,0.31,,,Bhutan,100,,,2015,,Bahamas,37 [34-41],2 992,0.37,2992,27.204404304232995,0.4196127554060121,2.6240051054104367,0.009244046328681128,0.047713657916448035,2.5987174851198005,0.25201530866299443,20.477862322886605,3.9994840808954146,24.639328863759026,0.38834143165108825,82.66072936226949
Austria,EUR,8633169,Europe and Central Asia,A,2459.371,2459.371,0,97.14,97.14,97.14,,,0,,,0,,,,11490.5061,15.41409355,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Botswana,Guyana,,,,Adults 1st line,0.7767996301,AZT + 3TC + LPV/r,0,0.5,0.02,0.5,3,0,0.0089325,,,,Region,Overall,Children,Women,Overall,Children,,Bahrain,983.6522,Bangladesh,1215.904,,Barbados,,8,,,,Bolivia (Plurinational State of),77,75,77,2015,,Bahrain,High-income country,No data,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
